segments,competitor,symbol,market share,market cap,notes
iPhone (Smartphones),Samsung Electronics,SSNLF,"~20% (Global)","~$380B","Key rival in premium and budget segments; hardware manufacturing partner."
iPhone (Smartphones),Xiaomi,XIACY,"~13% (Global)","~$55B","Aggressive pricing strategy; strong foothold in China and India."
iPhone (Smartphones),Google (Alphabet),GOOGL,"< 5% (Global Hardware)","~$2.15T","Produces Pixel hardware; Primary competitor via Android OS licensing."
Mac (PC/Laptop),Lenovo,LNVGY,"~24% (Global)","~$18B","Global market leader in PC shipments; dominates enterprise sector."
Mac (PC/Laptop),HP Inc.,HPQ,"~21% (Global)","~$35B","Strong US presence; broad portfolio from consumer to enterprise."
Mac (PC/Laptop),Dell Technologies,DELL,"~16% (Global)","~$95B","Direct-to-consumer model; high performance enterprise workstations."
iPad (Tablets),Samsung Electronics,SSNLF,"~19% (Global)","~$380B","Main competitor in high-end Android tablets (Galaxy Tab S series)."
iPad (Tablets),Lenovo,LNVGY,"~7% (Global)","~$18B","Strong in budget-friendly tablet segment."
iPad (Tablets),Amazon,AMZN,"~6% (Global)","~$1.95T","Competes via low-cost Fire tablets; ecosystem integration."
Wearables (Home/Accessory),Samsung Electronics,SSNLF,"~8% (Smartwatches)","~$380B","Galaxy Watch and Buds compete directly with Apple Watch and AirPods."
Wearables (Home/Accessory),Google (Fitbit),GOOGL,"~10% (Wearables)","~$2.15T","Acquired Fitbit; Pixel Watch integration with Android ecosystem."
Wearables (Home/Accessory),Xiaomi,XIACY,"~11% (Wearables)","~$55B","High volume shipments due to low-cost fitness bands."
Services,Spotify,SPOT,"~31% (Music Streaming)","~$64B","Direct competitor to Apple Music; platform agnostic."
Services,Netflix,NFLX,"Leading VOD Share","~$275B","Major competitor to Apple TV+ in original content streaming."
Services,Google (Alphabet),GOOGL,"Leading Cloud/Storage","~$2.15T","Google Drive/Photos vs iCloud; Google Pay vs Apple Pay."