template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2025,2025-09-30,FALSE,TRUE,0,0.17989,0.06628,3487000000,0.42547,0.38939,8.70623,24.78153,0.04887,3903000000,1.2094800000000001,2.84268,NA,2.06625,5,0.0374,NA,-9.73473,-18.2304,0.01316,0.65686,1135000000,0.0404,0.01406,0.00849,3.43877,0.01087,0.05759,7702000000,0.01701,0.01027
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2025,2025-06-30,FALSE,TRUE,0,0.17239,0.04103,2356000000,0.36364,0.33305,6.97983,23.98821,0.0521,-493000000,-0.15296,-0.42065,NA,2.03722,5,-0.0049,NA,-12.54754,-32.02817,0.01165,0.64677,1172000000,0.0521,0.01501,0.00912,-0.42065,0.01165,0.05616,7220000000,0.01501,0.00912
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2025,2025-03-31,FALSE,TRUE,0,0.16307,0.0255,1940000000,0.1271,0.11616,6.00839,23.19857,0.02115,139000000,0.04319,0.33985,NA,1.99607,4,0.00142,NA,-15.18918,-59.77079,0.00419,0.6589,315000000,0.01629,0.00418,0.00252,0.44127,0.00323,0.06018,7529000000,0.00542,0.00327
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2024,2024-12-31,FALSE,TRUE,0,0.16256,0.06185,3086000000,0.66231,0.60283,8.00093,22.69312,0.08278,2225000000,0.6925,1.04558,NA,2.02491,4,0.02325,NA,-9.18665,-17.83019,0.02223,0.65676,2121000000,0.08251,0.02879,0.01738,1.04903,0.02216,0.06728,8213000000,0.02888,0.01743
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2024,2024-09-30,FALSE,TRUE,0,0.19844,0.11008,4120000000,0.67949,0.62139,7.8743,21.8671,0.08629,2816000000,0.88055,1.2959,NA,1.84384,5,0.03075,NA,-6.29903,-9.36219,0.02373,0.69498,2118000000,0.08411,0.02995,0.01767,1.32956,0.02313,0.06421,7696000000,0.03073,0.01813
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2024,2024-06-30,FALSE,TRUE,0,0.17953,0.08733,3505000000,0.43873,0.40218,7.99123,20.82983,0.0549,1779000000,0.55751,1.27071,NA,1.91053,4,0.02036,NA,-6.55492,-10.31657,0.01602,0.67747,778000000,0.03051,0.01157,0.0069,2.28663,0.0089,0.06864,7745000000,0.02081,0.01241
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2024,2024-03-31,FALSE,TRUE,0,0.17351,0.05497,2417000000,0.43628,0.39897,6.68581,20.20653,0.06526,-2526000000,-0.79284,-1.81727,NA,1.71578,3,-0.03072,NA,-8.89657,-18.36294,0.0169,0.67576,1390000000,0.06526,0.021329999999999998,0.01273,-1.81727,0.0169,0.04907,5360000000,0.021329999999999998,0.01273
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2023,2023-12-31,FALSE,TRUE,0,0.17634,0.08201,3296000000,2.49073,2.2645,7.90669,19.67766,0.31502,-4187000000,-1.31543,-0.52813,NA,1.72589,4,-0.05218,NA,-7.24029,-11.56202,0.0988,0.67615,7928000000,0.31502,0.12464,0.07436,-0.52813,0.0988,0.04905,5230000000,0.12464,0.07436
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2023,2023-09-30,FALSE,TRUE,0,0.17893,0.07555,2999000000,0.58344,0.53049,7.3520200000000004,16.83438,0.07936,876000000,0.27582,0.47275,NA,1.69017,5,0.01265,NA,-7.23041,-12.29252,0.02675,0.72385,1853000000,0.07936,0.034,0.01973,0.47275,0.02675,0.04676,4393000000,0.034,0.01973
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2023,2023-06-30,FALSE,TRUE,0,0.18185,0.09624,3553000000,0.85241,0.77717,7.86093,16.12425,0.10844,1575000000,0.49669,0.58269,NA,1.59013,6,0.02443,NA,-5.83845,-8.64694,0.04193,0.73606,2703000000,0.10844,0.0518,0.02984,0.58269,0.04193,0.02573,2331000000,0.0518,0.02984
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2023,2023-03-31,FALSE,TRUE,0,0.19336,0.11419,3710000000,0.79375,0.72463,7.3686,15.17814,0.10772,1098000000,0.34681,0.43693,NA,1.56717,5,0.01806,NA,-5.31698,-7.40465,0.04133,0.76364,2513000000,0.10772,0.05104,0.02894,0.43693,0.04133,0.03082,2676000000,0.05104,0.02894
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2022,2022-12-31,FALSE,TRUE,0,0.23756,0.16181,4924000000,1.45731,1.5961,9.61186,17.66957,0.15162,1781000000,0.70395,0.48305,NA,1.53196,7,0.03117,NA,-3.87612,-4.85032,0.06454,0.79393,3653000000,0.15022,0.07959,0.04437,0.48754,0.06394,0.03764,3099000000,0.08033,0.04478
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2022,2022-09-30,FALSE,TRUE,0,0.25086,0.1719,4644000000,1.04641,0.94925,6.81945,12.6672,0.15344,3718000000,1.18182,1.1294,NA,1.46235,7,0.07252,NA,-3.77993,-4.75976,0.06421,0.80979,3292000000,0.15344,0.08005,0.04423,1.1294,0.06421,0.04774,3553000000,0.08005,0.04423
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2022,2022-06-30,FALSE,TRUE,0,0.25003,0.15389,3528000000,0.72613,0.65195,5.44327,11.6927,0.1334,990000000,0.31823,0.43825,NA,1.43082,7,0.02053,NA,-4.10573,-5.55833,0.04684,0.81935,2117000000,0.12501,0.05622,0.0309,0.46764,0.0439,0.06466,4430000000,0.05999,0.03297
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2022,2022-03-31,FALSE,TRUE,0,0.29111,0.1921,4483000000,1.08966,0.77073,6.15961,11.19376,0.1769,2908000000,0.95501,0.87643,NA,1.354,7,0.06289,NA,-2.94468,-3.66389,0.07175,0.86516,3318000000,0.1769,0.09371,0.05024,0.87643,0.07175,0.07287,4812000000,0.09371,0.05024
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2021,2021-12-31,FALSE,TRUE,0,0.27355,0.14747,3461000000,0.77522,0.68893,5.91817,10.08317,0.13099,1417000000,0.47328,0.61051,NA,1.37529,8,0.03219,NA,-3.14158,-4.16112,0.05273,0.96723,2321000000,0.13099,0.07349,0.03736,0.61051,0.05273,0.10999,6834000000,0.07349,0.03736
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2021,2021-09-30,FALSE,TRUE,0,0.26605,0.14938,2816000000,0.55544,0.48198,4.72262,9.28699,0.11761,1823000000,0.62582,1.1267,NA,1.38508,7,0.04393,NA,-2.81996,-3.86423,0.03899,1.02969,1567000000,0.11391,0.05499,0.02709,1.16337,0.03776,0.14099,8154000000,0.05678,0.02798
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2021,2021-06-30,FALSE,TRUE,0,0.24118,0.11164,2016000000,0.39612000000000003,0.33598,4.14776,8.60354,0.0955,782000000,0.27125,0.68476,NA,1.50834,8,0.0194,NA,-3.3869,-5.11461,0.02833,1.1008,1119000000,0.09358,0.04263,0.02029,0.69884,0.02776,0.17047,9401000000,0.0435,0.02071
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2021,2021-03-31,FALSE,TRUE,0,0.21321,0.04745,1114000000,0.15193,0.12886,3.60354,7.9837,0.04216,237000000,0.08221,0.5411,NA,1.66062,8,0.00594,NA,-5.62747,-12.71602,0.01097,1.16522,539000000,0.05188,0.02203,0.01018,0.4397,0.0135,0.20524,10872000000,0.0179,0.00827
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2020,2020-12-31,FALSE,TRUE,0,0.19229,0.05352,1193000000,0.09474,0.07519,3.76982,7.79825,0.02513,1781000000,0.62491,6.5963,NA,1.87514,8,0.04449,NA,-6.45096,-13.38435,0.00674,1.19756,270000000,0.02513,0.01138,0.00518,6.5963,0.00674,0.22413,11688000000,0.01138,0.00518
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2020,2020-09-30,FALSE,TRUE,0,0.23521,0.09224,1393000000,0.11775,0.09985,3.12024,5.70295,0.03774,1828000000,0.6503,5.52266,NA,1.63464,8,0.05147,NA,-0.60732,-1.04574,0.00932,1.60377,331000000,0.03774,0.01886,0.00724,5.52266,0.00932,0.29951,13685000000,0.01886,0.00724
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2020,2020-06-30,FALSE,TRUE,0,0.20991,0.05417,894000000,0.03728,0.03349,2.16344,3.53226,0.01723,103000000,0.03692,0.99038,NA,1.24988,7,0.00349,NA,6.12975,16.75841,0.00352,2.35076,104000000,0.01723,0.00914,0.00273,0.99038,0.00352,0.36961,14095000000,0.00914,0.00273
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2020,2020-03-31,FALSE,TRUE,0,0.20618,0.04728,836000000,0.00583,0.00536,2.18033,3.34171,0.00267,-1090000000,-0.39709,-68.125,NA,1.24253,6,-0.03827,NA,6.94139,20.5053,5.6e-4,2.47093,16000000,0.00267,0.00149,4.3e-4,-68.125,5.6e-4,0.3727,13883000000,0.00149,4.3e-4
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2019,2019-12-31,FALSE,TRUE,0,0.18838,0.04699,924000000,0.03903,0.04015,2.74462,2.4599,0.01422,743000000,0.27617,7.07619,NA,1.13462,4,0.02922,NA,7.73918,20.60807,0.00413,3.23046,117000000,0.01585,0.01443,0.00341,6.35043,0.0046,0.39112,13419000000,0.01295,0.00306
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2019,2019-09-30,FALSE,TRUE,0,0.18896,0.04141,791851000,0.05326,0.05181,2.34749,2.24953,0.02269,216871000,0.08077,1.51658,NA,1.07826,4,0.00879,NA,10.10923,30.6705,0.00579,3.38319,143000000,0.02269,0.01911,0.00436,1.51658,0.00579,0.40686,13343000000,0.01911,0.00436
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2019,2019-06-30,FALSE,TRUE,0,0.14505,-0.00789,528459000,-0.1541,-0.1541,2.39628,2.15691,-0.06431,567164000,0.21404,-1.38897,NA,1.06186,5,0.02356,NA,15.27223,-161.05094,-0.01696,3.45742,-525679000,-0.08279,-0.07352,-0.01649,-1.07892,-0.02184,0.40867,13025486000,-0.05711,-0.01281
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2019,2019-03-31,FALSE,TRUE,0,0.12457,-0.10533,-10783000,-0.27059,-0.27059,1.75019,1.77491,-0.15461,-969204000,-0.37351,1.38037,NA,0.83068,4,-0.04534,NA,-862.05064,-19.432,-0.03285,3.7885,-745606000,-0.16418,-0.12349,-0.02579,1.29989,-0.03488,0.39753,11493661000,-0.11629,-0.02428
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2018,2018-12-31,FALSE,TRUE,0,0.19969,0.05799,915678000,0.05408,0.05648,2.79958,1.90752,0.01932,998431000,0.38684,7.15342,NA,0.83128,8,0.04474,NA,9.04876,19.77549,0.00625,3.7104,134192000,0.01857,0.02125,0.00451,7.44032,0.00601,0.40254,11971371000,0.02211,0.00469
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2018,2018-09-30,FALSE,TRUE,0,0.22327,0.06491,945766000,0.12152,0.11654,2.66226,1.75893,0.04565,753966000,0.29413,2.42031,NA,0.81025,7,0.03492,NA,9.31416,19.88755,0.01443,3.99687,285332000,0.04181,0.04872,0.00975,2.64242,0.01321,0.40244,11776517000,0.05319,0.01065
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2018,2018-06-30,FALSE,TRUE,0,0.15465,-0.12942,-32703000,-0.28139,-0.28139,1.56953,1.53196,-0.17928,-863198000,-0.33851,1.203,NA,0.73291,2,-0.04136,NA,-286.74914,-18.10486,-0.03438,4.29631,-820973000,-0.20513,-0.15579,-0.02942,1.05143,-0.03933,0.41612,11613981000,-0.13616,-0.02571
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2018,2018-03-31,FALSE,TRUE,0,0.13393,-0.17513,-180741000,-0.27966,-0.27966,1.34351,1.75418,-0.20816,-1229199000,-0.48447,1.73236,NA,0.73799,1,-0.05961,NA,-44.7797,-13.55759,-0.03441,3.76526,-709551000,-0.20816,-0.12398,-0.02602,1.73236,-0.03441,0.39452,10759200000,-0.12398,-0.02602
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2017,2017-12-31,FALSE,TRUE,0,0.13344,-0.1819,-128535000,-0.26736,-0.26736,1.30178,1.67748,-0.20538,-546734000,-0.21645,0.80956,NA,0.85613,2,-0.02499,NA,-54.04718,-11.61424,-0.03087,4.0876,-675350000,-0.20538,-0.1199,-0.02357,0.80956,-0.03087,0.35996,10314868000,-0.1199,-0.02357
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2017,2017-09-30,FALSE,TRUE,0,0.15048,-0.17941,-134856000,-0.24682,-0.24682,1.18939,1.87752,-0.20752,-1629636000,-0.64941,2.63109,NA,1.09272,1,-0.07386,NA,-48.02093,-12.09365,-0.02807,3.5477,-619376000,-0.20752,-0.10021,-0.02204,2.63109,-0.02807,0.35599,10005940000,-0.10021,-0.02204
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2017,2017-06-30,FALSE,TRUE,0,0.23897,-0.08636,148255000,-0.13574,-0.13574,1.12565,2.06028,-0.12059,-1475103000,-0.59524,4.38501,NA,0.97145,4,-0.07262,NA,33.07525,-20.35386,-0.01656,2.95426,-336397000,-0.12059,-0.05108,-0.01292,4.38501,-0.01656,0.30485,7939495000,-0.05108,-0.01292
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2017,2017-03-31,FALSE,TRUE,0,0.24773,-0.09552,119053000,-0.13581,-0.13581,1.10869,2.05093,-0.12249,-891021000,-0.36638,2.6978,NA,1.12528,5,-0.04497,NA,34.81839,-16.09493,-0.01667,3.05478,-330277000,-0.12249,-0.05345,-0.01318,2.6978,-0.01667,0.32537,8151827000,-0.05345,-0.01318
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2016,2016-12-31,FALSE,TRUE,0,0.19052,-0.11674,60241000,-0.05212,-0.05493,0.98138,2.04165,-0.05311,-1156565000,-0.49681,9.53184,NA,1.07427,3,-0.0643,NA,61.68795,-13.9339,-0.00675,2.82568,-121337000,-0.05311,-0.02048,-0.00535,9.53184,-0.00675,0.31368,7109360000,-0.02048,-0.00535
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2016,2016-09-30,FALSE,TRUE,0,0.27703,0.03725,366090000,0.00979,0.00929,1.02845,1.1994,0.00952,90891000,0.04067,4.15445,NA,1.26701,7,0.01036,NA,-1.03818,-4.43888,0.00249,3.67813,21878000,0.00952,0.00813,0.00174,4.15445,0.00249,0.21475,2704191000,0.00813,0.00174
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2016,2016-06-30,FALSE,TRUE,0,0.21636,-0.18743,-54808000,-0.13963,-0.13963,0.60484,1.20029,-0.23085,-186395000,-0.08877,0.63575,NA,1.38161,4,-0.02135,NA,-0.00962,-0.00221,-0.03359,3.64095,-293188000,-0.23085,-0.11464,-0.0247,0.63575,-0.03359,0.27356,3246828000,-0.11464,-0.0247
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2016,2016-03-31,FALSE,TRUE,0,0.2201,-0.2164,-91764000,-0.14183,-0.14183,0.57637,0.48759,-0.24608,-575806000,-0.28933,2.03993,NA,1.01626,1,-0.08673,NA,-18.28413,-6.75932,-0.04251,8.07382,-282267000,-0.24608,-0.27865,-0.03071,2.03993,-0.04251,0.33939,3119614000,-0.27865,-0.03071
